size,arch,sparsity_mean,sparsity_std,std_mean,std_std,l1_norm_mean,l1_norm_std,kan_ratio_mean,kan_ratio_std,n_params_first
tiny,mlp,0.3946,0.0001,0.0194,0.0,0.0155,0.0,,,3538944
tiny,mlp_bspline,0.3922,0.0002,0.0706,0.0,0.0202,0.0,,,3631104
tiny,kan_bspline,0.5434,0.0031,0.0257,0.0001,0.0158,0.0001,121.3031,2.5056,3548160
tiny,kan_grkan,0.3905,0.0001,0.0206,0.0,0.0157,0.0,,,3540864
tiny,kan_mean,0.6021,0.0009,0.0249,0.0001,0.0144,0.0,148.857,0.561,3548160
small,mlp,0.4145,0.0078,0.0184,0.0003,0.0147,0.0003,,,14155776
small,mlp_bspline,0.3992,0.0088,0.0513,0.0014,0.0176,0.0004,,,14340096
small,kan_bspline,0.584,0.0054,0.0187,0.0,0.0124,0.0001,111.3125,16.3414,14192640
small,kan_grkan,0.4089,0.0003,0.0189,0.0,0.0149,0.0,,,14157696
small,kan_mean,0.629,0.0009,0.0178,0.0001,0.0113,0.0,157.8412,0.7352,14192640
base,mlp,0.4145,0.0081,0.0184,0.0004,0.0147,0.0003,,,56623104
base,mlp_bspline,0.414,0.0169,0.0372,0.002,0.0158,0.0007,,,56991744
base,kan_bspline,0.6141,0.0013,0.0147,0.0001,0.0104,0.0,117.5436,1.3258,56586240
base,kan_grkan,0.4057,0.0091,0.0189,0.0005,0.015,0.0004,,,56625024
base,kan_mean,0.6561,0.0112,0.0132,0.0003,0.0093,0.0002,159.209,3.7748,56586240
