size,arch,sparsity_mean,sparsity_std,std_mean,std_std,l1_norm_mean,l1_norm_std,kan_ratio_mean,kan_ratio_std,n_params_first
tiny,mlp,0.3946,0.0001,0.0194,0.0,0.0155,0.0,,,3538944
tiny,mlp_bspline,0.394,0.0002,0.0194,0.0,0.0155,0.0,,,3686400
tiny,kan_bspline,0.902,0.0001,0.0177,0.0,0.0053,0.0,111.4278,2.1296,3193344
tiny,kan_mean,0.902,0.0001,0.0177,0.0,0.0052,0.0,144.6584,1.5738,3193344
tiny,kan_grkan,0.3905,0.0001,0.0206,0.0,0.0157,0.0,,,3540864
small,mlp,0.4145,0.0078,0.0184,0.0003,0.0147,0.0003,,,14155776
small,mlp_bspline,0.4003,0.0089,0.0191,0.0004,0.0152,0.0004,,,14450688
small,kan_bspline,0.9081,0.0005,0.0121,0.0003,0.0036,0.0001,120.7857,8.7588,12773376
small,kan_mean,0.9084,0.0,0.0119,0.0,0.0035,0.0,144.725,1.6702,12773376
small,kan_grkan,0.4089,0.0003,0.0189,0.0,0.0149,0.0,,,14157696
base,mlp,0.4145,0.0081,0.0184,0.0004,0.0147,0.0003,,,56623104
base,mlp_bspline,0.4145,0.017,0.0184,0.0008,0.0147,0.0007,,,57212928
base,kan_bspline,0.9163,0.0001,0.0086,0.0,0.0026,0.0,117.9896,1.2156,50927616
base,kan_mean,0.9168,0.0007,0.0083,0.0002,0.0024,0.0001,157.4605,3.8227,50927616
base,kan_grkan,0.4057,0.0091,0.0189,0.0005,0.015,0.0004,,,56625024
