size,arch,seed,sparsity,std,l1_norm,n_params,kan_ratio
tiny,mlp,42,0.39459624886512756,0.01938500627875328,0.015461975708603859,3538944,
tiny,mlp,1337,0.39475420117378235,0.019374702125787735,0.01545258890837431,3538944,
tiny,mlp,2024,0.39447784423828125,0.01937764883041382,0.015458195470273495,3538944,
tiny,mlp_bspline,42,0.39415499567985535,0.01943071372807026,0.015486545860767365,3686400,
tiny,mlp_bspline,1337,0.394146591424942,0.01943155936896801,0.015489313751459122,3686400,
tiny,mlp_bspline,2024,0.3937581479549408,0.019414540380239487,0.015479117631912231,3686400,
tiny,kan_bspline,42,0.9021032452583313,0.017677471041679382,0.0053245811723172665,3193344,111.929383034861
tiny,kan_bspline,1337,0.9019225835800171,0.01766693778336048,0.005320460069924593,3193344,113.26177176233891
tiny,kan_bspline,2024,0.902076005935669,0.017685333266854286,0.005336457397788763,3193344,109.09213588805073
tiny,kan_mean,42,0.901955783367157,0.01765665039420128,0.00524152023717761,3193344,145.86522910424335
tiny,kan_mean,1337,0.9018771648406982,0.017635202035307884,0.0052388254553079605,3193344,145.23171612388586
tiny,kan_mean,2024,0.9020478129386902,0.017669828608632088,0.005250409245491028,3193344,142.8783356090995
tiny,kan_grkan,42,0.39049679040908813,0.0205888319760561,0.015698399394750595,3540864,
tiny,kan_grkan,1337,0.3904329538345337,0.020595036447048187,0.01570693589746952,3540864,
tiny,kan_grkan,2024,0.39064815640449524,0.020557686686515808,0.01567963697016239,3540864,
small,mlp,42,0.4100886583328247,0.018618153408169746,0.014833872206509113,14155776,
small,mlp,1337,0.42345350980758667,0.018068939447402954,0.014363492839038372,14155776,
small,mlp,2024,0.40986302495002747,0.018638407811522484,0.014849042519927025,14155776,
small,mlp_bspline,42,0.39501649141311646,0.019350918009877205,0.015433458611369133,14450688,
small,mlp_bspline,1337,0.41056370735168457,0.0186042208224535,0.01482152845710516,14450688,
small,mlp_bspline,2024,0.395252525806427,0.019343426451086998,0.015428002923727036,14450688,
small,kan_bspline,42,0.908358633518219,0.011977543123066425,0.0035937377251684666,12773376,116.01714898635423
small,kan_bspline,1337,0.9083794355392456,0.011967835016548634,0.003592150053009391,12773376,115.44581886179633
small,kan_bspline,2024,0.9074521064758301,0.01248986180871725,0.003727131290361285,12773376,130.89413572430226
small,kan_mean,42,0.9083706736564636,0.011861064471304417,0.0035263507161289454,12773376,143.01584385072917
small,kan_mean,1337,0.9083737134933472,0.011857626028358936,0.0035225979518145323,12773376,144.80603200353198
small,kan_mean,2024,0.9083520770072937,0.011860879138112068,0.0035223306622356176,12773376,146.35325831266607
small,kan_grkan,42,0.4084995985031128,0.018900470808148384,0.014894725754857063,14157696,
small,kan_grkan,1337,0.40914347767829895,0.018872631713747978,0.01487212534993887,14157696,
small,kan_grkan,2024,0.40903937816619873,0.018871964886784554,0.014873315580189228,14157696,
base,mlp,42,0.40996241569519043,0.01861513778567314,0.014834786765277386,56623104,
base,mlp,1337,0.4238679111003876,0.0180007703602314,0.014321676455438137,56623104,
base,mlp,2024,0.4097949266433716,0.01863453909754753,0.014846894890069962,56623104,
base,mlp_bspline,42,0.4242597818374634,0.01798310875892639,0.014309043064713478,57212928,
base,mlp_bspline,1337,0.4243650734424591,0.01797889545559883,0.014305108226835728,57212928,
base,mlp_bspline,2024,0.39490753412246704,0.019365115091204643,0.015443076379597187,57212928,
base,kan_bspline,42,0.9163424968719482,0.008566481992602348,0.002559362445026636,50927616,119.02512653909933
base,kan_bspline,1337,0.9163473844528198,0.008554665371775627,0.0025569882709532976,50927616,118.29249144020403
base,kan_bspline,2024,0.9162012934684753,0.008568989112973213,0.0025631836615502834,50927616,116.6511764505643
base,kan_mean,42,0.916411817073822,0.008388904854655266,0.002483782358467579,50927616,155.13935930917904
base,kan_mean,1337,0.9176880121231079,0.008022950030863285,0.0023703360930085182,50927616,161.87252951592237
base,kan_mean,2024,0.9163944125175476,0.008392819203436375,0.0024850680492818356,50927616,155.36951446210392
base,kan_grkan,42,0.3951318860054016,0.01940450444817543,0.015431763604283333,56625024,
base,kan_grkan,1337,0.4108960032463074,0.01860353909432888,0.014789000153541565,56625024,
base,kan_grkan,2024,0.41102033853530884,0.018601318821310997,0.014786836691200733,56625024,
