size,arch,sparsity_mean,sparsity_std,std_mean,std_std,l1_norm_mean,l1_norm_std,kan_ratio_mean,kan_ratio_std,n_params_first
tiny,mlp,0.2786,0.0013,0.0374,0.0001,0.0273,0.0,,,3538944
tiny,mlp_bspline,0.2522,0.0005,0.0596,0.0,0.0301,0.0,,,3631104
tiny,kan_bspline,0.1612,0.001,0.0777,0.0003,0.0542,0.0002,5.7365,0.0429,3548160
tiny,kan_grkan,0.291,0.0045,0.0285,0.0004,0.0222,0.0003,,,3540864
tiny,kan_mean,0.307,0.0047,0.148,0.0051,0.0772,0.0026,7.1531,0.9714,3548160
small,mlp,0.2632,0.001,0.0323,0.0001,0.0251,0.0001,,,14155776
small,mlp_bspline,0.2711,0.0031,0.056,0.0003,0.0264,0.0002,,,14340096
small,kan_bspline,0.1792,0.0022,0.0612,0.0006,0.0441,0.0005,9.0037,0.2886,14192640
small,kan_grkan,0.2729,0.0102,0.0293,0.0011,0.0232,0.0009,,,14157696
small,kan_mean,0.6867,0.006,0.0371,0.002,0.0171,0.0003,1778.0562,391.0368,14192640
base,mlp,0.3004,0.002,0.0269,0.0002,0.0212,0.0002,,,56623104
base,mlp_bspline,0.3006,0.0006,0.0433,0.0,0.0226,0.0,,,56991744
base,kan_bspline,0.2548,0.0041,0.042,0.0006,0.0304,0.0005,17.0392,0.5568,56586240
base,kan_grkan,0.31,0.0031,0.0254,0.0003,0.0202,0.0002,,,56625024
base,kan_mean,0.667,0.0025,0.016,0.0002,0.01,0.0,175.4639,1.2514,56586240
