size,arch,seed,sparsity,std,l1_norm,n_params,kan_ratio
tiny,mlp,42,0.27802079916000366,0.03749685361981392,0.027382757514715195,3538944,
tiny,mlp,1337,0.27768877148628235,0.03744197264313698,0.02736806496977806,3538944,
tiny,mlp,2024,0.2800987958908081,0.03738023713231087,0.027290113270282745,3538944,
tiny,mlp_bspline,42,0.25145506858825684,0.042476411908864975,0.028373319655656815,3686400,
tiny,mlp_bspline,1337,0.25052082538604736,0.04245082661509514,0.028418339788913727,3686400,
tiny,mlp_bspline,2024,0.251081258058548,0.042378295212984085,0.028374729678034782,3686400,
tiny,kan_bspline,42,0.7414537668228149,0.01651495136320591,0.009099985472857952,3193344,4.543636078508267
tiny,kan_bspline,1337,0.7422097325325012,0.016593944281339645,0.009089173749089241,3193344,4.550275674626292
tiny,kan_bspline,2024,0.7392980456352234,0.016590503975749016,0.009167329408228397,3193344,4.487926365230359
tiny,kan_mean,42,0.6530270576477051,0.12805479764938354,0.04011126980185509,3193344,14.920841200354904
tiny,kan_mean,1337,0.6567090749740601,0.12377672642469406,0.0386422835290432,3193344,15.532341497426296
tiny,kan_mean,2024,0.6720998287200928,0.1174371987581253,0.03699171170592308,3193344,16.022897438830114
tiny,kan_grkan,42,0.29118260741233826,0.028436996042728424,0.02211827039718628,3540864,
tiny,kan_grkan,1337,0.2953270673751831,0.02810008078813553,0.021844346076250076,3540864,
tiny,kan_grkan,2024,0.2863442301750183,0.028935808688402176,0.022516213357448578,3540864,
small,mlp,42,0.26412978768348694,0.03220147639513016,0.025040604174137115,14155776,
small,mlp,1337,0.2633189558982849,0.03227941691875458,0.025104448199272156,14155776,
small,mlp,2024,0.26210078597068787,0.032397639006376266,0.025203373283147812,14155776,
small,mlp_bspline,42,0.2727227807044983,0.0375380665063858,0.02516099624335766,14450688,
small,mlp_bspline,1337,0.26648953557014465,0.03794190660119057,0.025652719661593437,14450688,
small,mlp_bspline,2024,0.2696928381919861,0.037732940167188644,0.025407729670405388,14450688,
small,kan_bspline,42,0.8105778098106384,0.013809625059366226,0.00710308738052845,12773376,6.130276077190979
small,kan_bspline,1337,0.8065758943557739,0.013936656527221203,0.007220350205898285,12773376,6.0541631293186455
small,kan_bspline,2024,0.8050448298454285,0.013787313364446163,0.007207672577351332,12773376,5.811510936848915
small,kan_mean,42,0.8920755386352539,0.02669493295252323,0.006646483205258846,12773376,74.05910189888023
small,kan_mean,1337,0.891809344291687,0.028732841834425926,0.007067389320582151,12773376,80.22862248948387
small,kan_mean,2024,0.8928396701812744,0.032712701708078384,0.007680388167500496,12773376,92.03733300355262
small,kan_grkan,42,0.28468990325927734,0.028012288734316826,0.022152256220579147,14157696,
small,kan_grkan,1337,0.26675674319267273,0.029947981238365173,0.023701343685388565,14157696,
small,kan_grkan,2024,0.2671739161014557,0.02988603711128235,0.02366110496222973,14157696,
base,mlp,42,0.30129897594451904,0.02676040306687355,0.021104516461491585,56623104,
base,mlp,1337,0.30174124240875244,0.026745257899165154,0.02108452469110489,56623104,
base,mlp,2024,0.29805368185043335,0.02714529260993004,0.02138853818178177,56623104,
base,mlp_bspline,42,0.30075803399086,0.027981780469417572,0.021598460152745247,57212928,
base,mlp_bspline,1337,0.29950734972953796,0.02807481400668621,0.021684441715478897,57212928,
base,mlp_bspline,2024,0.2998574674129486,0.028059881180524826,0.021671582013368607,57212928,
base,kan_bspline,42,0.8845849633216858,0.011475833132863045,0.004807277582585812,50927616,11.98595520142191
base,kan_bspline,1337,0.881162703037262,0.01161921862512827,0.004941361956298351,50927616,11.402365227064609
base,kan_bspline,2024,0.8820769190788269,0.011570867151021957,0.004903982859104872,50927616,11.521266178925982
base,kan_mean,42,0.9181027412414551,0.007559464778751135,0.0023210085928440094,50927616,76.73524968885506
base,kan_mean,1337,0.9181036353111267,0.007599738892167807,0.0023310573305934668,50927616,83.02047519371884
base,kan_mean,2024,0.9179348349571228,0.00761653995141387,0.002337623853236437,50927616,80.46364004396884
base,kan_grkan,42,0.30850425362586975,0.02552838623523712,0.020265426486730576,56625024,
base,kan_grkan,1337,0.31353285908699036,0.0250875074416399,0.019913574680685997,56625024,
base,kan_grkan,2024,0.30801525712013245,0.025563091039657593,0.020294712856411934,56625024,
