Architecture,size,test_ppl,total_epochs,best_epoch,epoch_time,time_min,inference_ms,peak_mem_gb
KAN (B-Spline),base,86.53 ± 0.43,21.67 ± 0.58,16.67 ± 0.58,205.27 ± 0.07,77.03 ± 1.80,2.00 ± 0.00,9.59 ± 0.00
KAN (B-Spline),small,90.25 ± 0.55,42.00 ± 3.46,37.00 ± 3.46,102.31 ± 0.08,74.28 ± 6.02,1.53 ± 0.00,6.01 ± 0.00
KAN (B-Spline),tiny,102.39 ± 0.32,98.33 ± 2.08,95.00 ± 4.58,55.11 ± 0.22,93.57 ± 2.09,1.38 ± 0.01,5.26 ± 0.00
KAN (GR-KAN),base,91.28 ± 0.56,16.67 ± 0.58,11.67 ± 0.58,143.10 ± 0.11,41.61 ± 1.54,1.29 ± 0.00,9.38 ± 0.00
KAN (GR-KAN),small,88.36 ± 0.33,38.33 ± 0.58,33.33 ± 0.58,72.75 ± 0.05,48.45 ± 0.64,1.36 ± 0.02,5.89 ± 0.00
KAN (GR-KAN),tiny,95.07 ± 0.58,80.33 ± 13.50,75.33 ± 13.50,43.20 ± 0.03,60.21 ± 10.02,0.86 ± 0.00,5.26 ± 0.00
KAN (Mean),base,92.29 ± 0.11,22.33 ± 0.58,17.33 ± 0.58,204.45 ± 0.03,79.00 ± 2.16,2.00 ± 0.00,9.60 ± 0.00
KAN (Mean),small,98.32 ± 0.56,64.67 ± 2.08,59.67 ± 2.08,102.08 ± 0.06,114.00 ± 3.60,1.55 ± 0.00,6.01 ± 0.00
KAN (Mean),tiny,115.92 ± 0.25,99.33 ± 0.58,95.33 ± 2.31,54.89 ± 0.02,94.33 ± 0.73,1.39 ± 0.01,5.26 ± 0.00
MLP,base,77.26 ± 0.04,16.33 ± 0.58,11.33 ± 0.58,132.19 ± 0.08,37.62 ± 1.30,1.26 ± 0.00,9.30 ± 0.00
MLP,small,79.31 ± 0.38,30.33 ± 0.58,25.33 ± 0.58,60.70 ± 0.04,32.13 ± 0.57,0.97 ± 0.00,5.85 ± 0.00
MLP,tiny,87.97 ± 0.34,97.00 ± 2.65,92.00 ± 2.65,35.07 ± 0.04,59.28 ± 1.67,0.98 ± 0.02,5.26 ± 0.00
MLP (B-Spline),base,78.17 ± 0.27,18.00 ± 0.00,13.00 ± 0.00,360.66 ± 0.09,113.19 ± 0.02,1.83 ± 0.00,16.62 ± 0.00
MLP (B-Spline),small,80.22 ± 0.35,30.67 ± 1.53,25.67 ± 1.53,173.70 ± 0.14,93.01 ± 4.38,1.31 ± 0.00,9.20 ± 0.00
MLP (B-Spline),tiny,85.94 ± 0.49,99.00 ± 1.73,96.00 ± 3.46,91.96 ± 0.08,158.56 ± 2.52,1.07 ± 0.01,6.13 ± 0.00
